sampleId,sourceLid,displayTitle,displayedTotal,calculatedTotal,totalDelta,Mệnh,Phụ Mẫu,Phúc Đức,Điền Trạch,Quan Lộc,Nô Bộc,Thiên Di,Tật Ách,Tài Bạch,Tử Tức,Phu Thê,Huynh Đệ
HK-PUB-001,5861,"DƯƠNG NỮ GIÁP TUẤT, tháng 4 ngày 11, giờ MÃO",6.75,6.75,0.0,2.75,-1.5,0.0,0.0,-2.0,1.75,1.75,1.0,-1.5,2.0,2.0,0.5
HK-PUB-002,105343,"DƯƠNG NAM BÍNH TÍ, tháng 12 ngày 24, giờ DẦN",7.09,7.09,0.0,0.25,2.0,1.0,-0.34,0.18,1.5,1.75,-0.25,0.0,-1.0,2.0,0.0
HK-PUB-003,493141,"DƯƠNG NỮ CANH TUẤT, tháng 3 ngày 19, giờ THÌN",-3.27,-3.27,0.0,1.0,-0.07,-2.0,-1.2,-1.0,1.0,-0.5,0.25,2.75,-3.5,1.0,-1.0
HK-PUB-004,485026,"ÂM NỮ TÂN MÃO, tháng 4 ngày 29, giờ DẦN",4.16,4.16,0.0,-0.11,2.0,2.0,2.0,1.25,-1.5,-0.25,-2.25,-1.75,1.0,0.52,1.25
HK-PUB-005,381920,"ÂM NAM ĐINH SỬU, tháng 11 ngày 19, giờ DẬU",-1.18,-1.18,0.0,1.0,1.0,0.5,-0.7,-0.87,0.31,-2.0,0.33,-0.25,0.0,-1.25,0.75
HK-PUB-006,95046,"ÂM NAM KỶ TỊ, tháng 12 ngày 12, giờ TÍ",6.76,6.76,0.0,2.0,1.0,-3.25,1.0,0.78,-0.5,2.25,0.23,0.0,-1.0,2.75,1.5
HK-PUB-007,405320,"ÂM NAM TÂN MÃO, tháng 8 ngày 25, giờ TỊ",1.61,1.61,0.0,1.0,2.0,0.5,1.0,0.5,-4.0,0.75,0.12,-1.0,2.0,0.49,-1.75
HK-PUB-008,87057,"ÂM NỮ TÂN MÙI, tháng 8 ngày 15, giờ DẦN",7.92,7.92,0.0,-0.56,1.5,1.23,-0.25,-0.25,3.0,-2.0,0.25,2.0,2.0,-1.0,2.0
HK-PUB-009,395732,"ÂM NAM KỶ HỢI, tháng 8 ngày 23, giờ THÂN",-9.1,-9.1,0.0,-1.81,-1.5,-0.29,1.0,-0.25,-1.5,-3.75,2.75,-1.0,-2.0,0.25,-1.0
HK-PUB-010,326574,"ÂM NỮ ẤT DẬU, tháng 3 ngày 26, giờ DẦN",7.53,7.53,0.0,0.84,-1.5,1.28,-0.25,-0.5,-1.0,1.5,1.5,2.0,3.0,0.42,0.24
HK-PUB-011,397996,"DƯƠNG NỮ CANH DẦN, tháng 6 ngày 11, giờ DẦN",1.5,1.5,0.0,1.0,-1.75,0.75,-1.06,0.06,-2.0,1.0,2.0,1.5,-3.0,2.0,1.0
HK-PUB-012,506902,"DƯƠNG NỮ BÍNH TUẤT, tháng 12 ngày 1, giờ DẬU",4.64,4.64,0.0,1.5,1.75,1.5,1.0,1.5,-3.5,1.0,0.74,-1.0,1.75,0.9,-2.5
HK-PUB-013,18546,"ÂM NỮ KỶ TỊ, tháng 4 ngày 14, giờ NGỌ",-6.25,-6.25,0.0,-1.0,1.5,-1.0,-2.0,-1.0,-1.0,1.25,-1.5,-0.75,-0.25,0.75,-1.25
HK-PUB-014,460800,"ÂM NAM TÂN TỊ, tháng 10 ngày 12, giờ THÂN",-4.55,-4.55,0.0,0.25,1.0,-1.0,-1.92,-0.27,-0.38,2.25,0.02,-2.0,-4.5,1.0,1.0
HK-PUB-015,344464,"DƯƠNG NAM BÍNH DẦN, tháng 3 ngày 26, giờ DẬU",4.45,4.45,0.0,1.0,-0.75,-0.5,-1.75,-1.75,1.0,0.16,1.25,-0.21,2.0,1.75,2.25
HK-PUB-016,501213,"ÂM NAM QUÝ HỢI, tháng 4 ngày 24, giờ SỬU",15.82,15.82,0.0,2.0,2.5,0.7,1.16,1.14,0.75,0.32,-1.5,1.75,3.5,2.0,1.5
HK-PUB-017,152263,"DƯƠNG NỮ BÍNH NGỌ, tháng 1 ngày 14, giờ NGỌ",-3.0,-3.0,0.0,2.0,0.0,0.0,0.25,-2.0,2.0,-1.0,0.0,-0.25,-3.25,1.5,-2.25
HK-PUB-018,408053,"DƯƠNG NAM CANH TÍ, tháng 2 ngày 8, giờ DẦN",-4.72,-4.72,0.0,-0.5,2.0,2.0,-1.25,-0.75,2.25,-2.25,-0.22,-1.0,-2.0,-2.0,-1.0
